ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10421,10,10,10,10,10,10,10,10,10,10
10422,0,0,0,0,0,0,0,0,0,0
10423,15,39,0,8,0,9,0,37,0,0
10424,0,19,20,37,18,0,0,15,0,0
10425,23,23,23,23,23,23,23,23,23,23
10426,20,20,20,20,20,20,20,20,20,20
10427,34,34,34,34,34,34,34,34,34,34
10428,0,0,0,0,0,0,0,0,0,0
10429,0,0,9,0,0,0,18,0,0,0
10430,21,21,21,21,21,21,21,21,21,21
10431,0,0,0,0,0,0,0,0,0,0
10432,0,0,0,0,0,0,0,0,0,0
10433,22,22,22,22,22,22,22,22,22,22
10434,25,0,7,8,20,15,30,0,26,0
10435,23,23,23,23,23,23,23,23,23,23
10436,20,20,20,20,20,20,20,20,20,20
10437,0,0,0,0,0,0,0,0,0,0
10438,0,0,0,0,0,0,0,0,0,0
10439,0,0,0,0,0,0,0,0,0,0
10440,30,30,30,30,30,30,30,30,30,30
10441,2,2,2,2,2,26,4,2,2,2
10442,0,10,26,27,11,0,20,14,0,17
10443,24,21,18,0,0,28,0,18,0,0
10445,0,0,0,0,0,0,0,0,0,0
10446,8,8,8,8,8,8,8,8,8,8
10447,0,0,0,0,0,0,0,0,0,0
10448,8,8,8,8,8,8,8,8,8,8
10449,0,0,0,0,0,0,0,0,0,0
10450,15,15,15,15,15,15,15,15,15,15
10451,0,0,17,0,16,27,6,15,0,8
10452,0,0,0,19,0,0,22,0,0,0
10453,9,0,15,3,6,0,14,16,0,0
10454,0,0,0,0,0,0,0,0,0,0
10455,0,0,0,0,0,0,0,0,0,0
10456,0,0,0,0,0,0,0,0,0,0
10457,0,0,0,0,0,0,0,0,0,22
10458,13,13,13,13,13,13,13,13,13,13
10459,0,3,8,0,16,27,8,13,0,0
10460,0,0,0,0,0,0,0,0,0,0
10461,0,0,0,0,17,0,0,0,7,16
10462,0,0,0,0,17,0,0,0,0,0
10463,0,0,0,0,0,0,0,0,0,0
10464,0,0,0,0,0,0,0,0,0,0
10465,0,0,6,0,0,15,16,0,0,0
10466,0,0,0,0,0,0,0,0,0,0
10467,0,0,0,0,0,0,0,0,0,0
10468,0,0,0,0,0,0,0,0,0,0
